01-27 16:37:57: Training starting...
01-27 16:37:59: New best reward 19.0 (-100.0%) at episode 0, saving model...
01-27 16:37:59: New best reward 27.0 (+42.1%) at episode 1, saving model...
01-27 16:37:59: New best reward 35.0 (+29.6%) at episode 2, saving model...
01-27 16:37:59: New best reward 36.0 (+2.9%) at episode 3, saving model...
01-27 16:37:59: New best reward 37.0 (+2.8%) at episode 5, saving model...
01-27 16:37:59: New best reward 51.0 (+37.8%) at episode 14, saving model...
01-27 16:38:10: New best reward 54.0 (+5.9%) at episode 4574, saving model...
01-27 16:38:10: New best reward 61.0 (+13.0%) at episode 4608, saving model...
01-27 16:38:10: New best reward 72.0 (+18.0%) at episode 4611, saving model...
01-27 16:38:10: New best reward 99.0 (+37.5%) at episode 4624, saving model...
01-27 16:38:11: New best reward 133.0 (+34.3%) at episode 4706, saving model...
01-27 16:38:16: New best reward 135.0 (+1.5%) at episode 6297, saving model...
01-27 16:38:30: New best reward 186.0 (+37.8%) at episode 9181, saving model...
01-27 16:38:32: New best reward 193.0 (+3.8%) at episode 9653, saving model...
01-27 16:38:38: New best reward 205.0 (+6.2%) at episode 10747, saving model...
01-27 16:38:39: New best reward 206.0 (+0.5%) at episode 10786, saving model...
01-27 16:38:49: New best reward 208.0 (+1.0%) at episode 12665, saving model...
01-27 16:38:57: New best reward 212.0 (+1.9%) at episode 14088, saving model...
01-27 16:38:58: New best reward 231.0 (+9.0%) at episode 14107, saving model...
01-27 16:38:59: New best reward 233.0 (+0.9%) at episode 14185, saving model...
01-27 16:39:00: New best reward 408.0 (+75.1%) at episode 14259, saving model...
01-27 16:39:40: New best reward 409.0 (+0.2%) at episode 17854, saving model...
01-27 16:40:04: New best reward 470.0 (+14.9%) at episode 19646, saving model...
01-27 16:41:45: New best reward 573.0 (+21.9%) at episode 25042, saving model...
01-27 16:42:00: New best reward 633.0 (+10.5%) at episode 25665, saving model...
01-27 16:42:13: New best reward 697.0 (+10.1%) at episode 26205, saving model...
01-27 16:42:28: New best reward 715.0 (+2.6%) at episode 26751, saving model...
01-27 16:43:04: New best reward 892.0 (+24.8%) at episode 28080, saving model...
01-27 16:43:17: New best reward 956.0 (+7.2%) at episode 28529, saving model...
01-27 16:43:55: New best reward 1097.0 (+14.7%) at episode 29655, saving model...
01-27 16:45:39: New best reward 1348.0 (+22.9%) at episode 32486, saving model...
01-27 16:47:27: New best reward 1369.0 (+1.6%) at episode 34835, saving model...
01-27 16:47:38: New best reward 2187.0 (+59.8%) at episode 35019, saving model...
01-27 16:47:39: New best reward 3192.0 (+46.0%) at episode 35036, saving model...
01-27 16:48:18: New best reward 5402.0 (+69.2%) at episode 35584, saving model...
01-27 16:48:29: New best reward 12428.0 (+130.1%) at episode 35692, saving model...
01-27 16:48:42: New best reward 17024.0 (+37.0%) at episode 35783, saving model...
01-27 16:48:51: New best reward 62045.0 (+264.5%) at episode 35809, saving model...
01-27 16:49:04: New best reward 100000.0 (+61.2%) at episode 35818, saving model...
