01-27 18:50:19: Training starting...
01-27 18:50:21: New best reward -6.9 (-100.0%) at episode 0, saving model...
01-27 18:50:21: New best reward -6.3 (-8.7%) at episode 1, saving model...
01-27 18:50:21: New best reward -5.7 (-9.5%) at episode 7, saving model...
01-27 18:50:22: New best reward -4.5 (-21.1%) at episode 17, saving model...
01-27 18:50:27: New best reward -3.9 (-13.3%) at episode 62, saving model...
01-27 18:50:30: New best reward -1.5 (-61.5%) at episode 86, saving model...
01-27 18:50:30: New best reward -0.9 (-40.0%) at episode 87, saving model...
01-27 18:50:39: New best reward 1.5 (-266.7%) at episode 174, saving model...
01-27 18:50:45: New best reward 2.1 (+40.0%) at episode 225, saving model...
01-27 18:50:52: New best reward 2.3 (+9.5%) at episode 285, saving model...
01-27 18:50:53: New best reward 2.7 (+17.4%) at episode 295, saving model...
01-27 18:51:00: New best reward 3.3 (+22.2%) at episode 354, saving model...
01-27 18:51:19: New best reward 3.6 (+9.1%) at episode 513, saving model...
01-27 18:51:30: New best reward 6.4 (+77.8%) at episode 605, saving model...
01-27 18:51:44: New best reward 6.6 (+3.1%) at episode 713, saving model...
01-27 18:51:49: New best reward 9.9 (+50.0%) at episode 739, saving model...
01-27 18:52:16: New best reward 10.3 (+4.0%) at episode 910, saving model...
01-27 18:55:41: New best reward 21.9 (+112.6%) at episode 2189, saving model...
